FIPS_Code,State,Area_Name,Attribute,Value,Dataset
6001,CA,Alameda County,Rural_Urban_Continuum_Code_2023,1.0,poverty
6001,CA,Alameda County,POVALL_2023,151872.0,poverty
6001,CA,Alameda County,CI90LBALL_2023,138959.0,poverty
6001,CA,Alameda County,CI90UBALL_2023,164785.0,poverty
6001,CA,Alameda County,PCTPOVALL_2023,9.5,poverty
6001,CA,Alameda County,CI90LBALLP_2023,8.7,poverty
6001,CA,Alameda County,CI90UBALLP_2023,10.3,poverty
6001,CA,Alameda County,POV017_2023,28117.0,poverty
6001,CA,Alameda County,CI90LB017_2023,22066.0,poverty
6001,CA,Alameda County,CI90UB017_2023,34168.0,poverty
6001,CA,Alameda County,PCTPOV017_2023,9.0,poverty
6001,CA,Alameda County,CI90LB017P_2023,7.1,poverty
6001,CA,Alameda County,CI90UB017P_2023,10.9,poverty
6001,CA,Alameda County,POV517_2023,21236.0,poverty
6001,CA,Alameda County,CI90LB517_2023,16450.0,poverty
6001,CA,Alameda County,CI90UB517_2023,26022.0,poverty
6001,CA,Alameda County,PCTPOV517_2023,9.2,poverty
6001,CA,Alameda County,CI90LB517P_2023,7.1,poverty
6001,CA,Alameda County,CI90UB517P_2023,11.3,poverty
6001,CA,Alameda County,MEDHHINC_2023,119230.0,poverty
6001,CA,Alameda County,CI90LBINC_2023,115954.0,poverty
6001,CA,Alameda County,CI90UBINC_2023,122506.0,poverty
6003,CA,Alpine County,Rural_Urban_Continuum_Code_2023,8.0,poverty
6003,CA,Alpine County,POVALL_2023,177.0,poverty
6003,CA,Alpine County,CI90LBALL_2023,134.0,poverty
6003,CA,Alpine County,CI90UBALL_2023,220.0,poverty
6003,CA,Alpine County,PCTPOVALL_2023,15.6,poverty
6003,CA,Alpine County,CI90LBALLP_2023,11.8,poverty
6003,CA,Alpine County,CI90UBALLP_2023,19.4,poverty
6003,CA,Alpine County,POV017_2023,49.0,poverty
6003,CA,Alpine County,CI90LB017_2023,34.0,poverty
6003,CA,Alpine County,CI90UB017_2023,64.0,poverty
6003,CA,Alpine County,PCTPOV017_2023,26.8,poverty
6003,CA,Alpine County,CI90LB017P_2023,18.5,poverty
6003,CA,Alpine County,CI90UB017P_2023,35.1,poverty
6003,CA,Alpine County,POV517_2023,32.0,poverty
6003,CA,Alpine County,CI90LB517_2023,21.0,poverty
6003,CA,Alpine County,CI90UB517_2023,43.0,poverty
6003,CA,Alpine County,PCTPOV517_2023,22.4,poverty
6003,CA,Alpine County,CI90LB517P_2023,14.9,poverty
6003,CA,Alpine County,CI90UB517P_2023,29.9,poverty
6003,CA,Alpine County,MEDHHINC_2023,83265.0,poverty
6003,CA,Alpine County,CI90LBINC_2023,75129.0,poverty
6003,CA,Alpine County,CI90UBINC_2023,91401.0,poverty
6005,CA,Amador County,Rural_Urban_Continuum_Code_2023,6.0,poverty
6005,CA,Amador County,POVALL_2023,4400.0,poverty
6005,CA,Amador County,CI90LBALL_2023,3493.0,poverty
6005,CA,Amador County,CI90UBALL_2023,5307.0,poverty
6005,CA,Amador County,PCTPOVALL_2023,11.7,poverty
6005,CA,Amador County,CI90LBALLP_2023,9.3,poverty
6005,CA,Amador County,CI90UBALLP_2023,14.1,poverty
6005,CA,Amador County,POV017_2023,886.0,poverty
6005,CA,Amador County,CI90LB017_2023,613.0,poverty
6005,CA,Amador County,CI90UB017_2023,1159.0,poverty
6005,CA,Amador County,PCTPOV017_2023,13.9,poverty
6005,CA,Amador County,CI90LB017P_2023,9.6,poverty
6005,CA,Amador County,CI90UB017P_2023,18.2,poverty
6005,CA,Amador County,POV517_2023,631.0,poverty
6005,CA,Amador County,CI90LB517_2023,427.0,poverty
6005,CA,Amador County,CI90UB517_2023,835.0,poverty
6005,CA,Amador County,PCTPOV517_2023,13.5,poverty
6005,CA,Amador County,CI90LB517P_2023,9.1,poverty
6005,CA,Amador County,CI90UB517P_2023,17.9,poverty
6005,CA,Amador County,MEDHHINC_2023,80767.0,poverty
6005,CA,Amador County,CI90LBINC_2023,73729.0,poverty
6005,CA,Amador County,CI90UBINC_2023,87805.0,poverty
6007,CA,Butte County,Rural_Urban_Continuum_Code_2023,3.0,poverty
6007,CA,Butte County,POVALL_2023,40532.0,poverty
6007,CA,Butte County,CI90LBALL_2023,36792.0,poverty
6007,CA,Butte County,CI90UBALL_2023,44272.0,poverty
6007,CA,Butte County,PCTPOVALL_2023,19.9,poverty
6007,CA,Butte County,CI90LBALLP_2023,18.1,poverty
6007,CA,Butte County,CI90UBALLP_2023,21.7,poverty
6007,CA,Butte County,POV017_2023,8618.0,poverty
6007,CA,Butte County,CI90LB017_2023,7109.0,poverty
6007,CA,Butte County,CI90UB017_2023,10127.0,poverty
6007,CA,Butte County,PCTPOV017_2023,20.8,poverty
6007,CA,Butte County,CI90LB017P_2023,17.2,poverty
6007,CA,Butte County,CI90UB017P_2023,24.4,poverty
6007,CA,Butte County,POV517_2023,5692.0,poverty
6007,CA,Butte County,CI90LB517_2023,4485.0,poverty
6007,CA,Butte County,CI90UB517_2023,6899.0,poverty
6007,CA,Butte County,PCTPOV517_2023,18.4,poverty
6007,CA,Butte County,CI90LB517P_2023,14.5,poverty
6007,CA,Butte County,CI90UB517P_2023,22.3,poverty
6007,CA,Butte County,MEDHHINC_2023,63084.0,poverty
6007,CA,Butte County,CI90LBINC_2023,59966.0,poverty
6007,CA,Butte County,CI90UBINC_2023,66202.0,poverty
6009,CA,Calaveras County,Rural_Urban_Continuum_Code_2023,6.0,poverty
6009,CA,Calaveras County,POVALL_2023,5639.0,poverty
6009,CA,Calaveras County,CI90LBALL_2023,4559.0,poverty
6009,CA,Calaveras County,CI90UBALL_2023,6719.0,poverty
6009,CA,Calaveras County,PCTPOVALL_2023,12.2,poverty
6009,CA,Calaveras County,CI90LBALLP_2023,9.9,poverty
6009,CA,Calaveras County,CI90UBALLP_2023,14.5,poverty
6009,CA,Calaveras County,POV017_2023,1228.0,poverty
6009,CA,Calaveras County,CI90LB017_2023,873.0,poverty
6009,CA,Calaveras County,CI90UB017_2023,1583.0,poverty
6009,CA,Calaveras County,PCTPOV017_2023,15.5,poverty
